RegionCode,CountryCode,Year,Population
CSA,COL,2009,44313917
CSA,COL,2010,44816108
CSA,COL,2011,45308899
CSA,COL,2012,45782417
CSA,COL,2013,46237930
CSA,COL,2014,46677947
CSA,CRI,1990,
CSA,CRI,1991,3239414
CSA,CRI,1992,3321939
CSA,CRI,1993,3405372
CSA,CRI,1994,3489152
CSA,CRI,1995,3572856
CSA,CRI,1996,3656234
CSA,CRI,1997,3739421
CSA,CRI,1998,3821421
CSA,CRI,1999,3901430
CSA,CRI,2000,3979193
CSA,CRI,2001,4053222
CSA,CRI,2002,4122623
CSA,CRI,2003,4188610
CSA,CRI,2004,4252800
CSA,CRI,2005,4315887
CSA,CRI,2006,4378172
CSA,CRI,2007,4440019
CSA,CRI,2008,4501921
CSA,CRI,2009,4563127
CSA,CRI,2010,4622252
CSA,CRI,2011,4679926
CSA,CRI,2012,4736593
CSA,CRI,2013,4791535
CSA,CRI,2014,4844288
EU,HRV,1990,
EU,HRV,1991,4689022
EU,HRV,1992,4575818
EU,HRV,1993,4600463
EU,HRV,1994,4652024
EU,HRV,1995,4620030
EU,HRV,1996,4557097
EU,HRV,1997,4534920
EU,HRV,1998,4532135
EU,HRV,1999,4512597
EU,HRV,2000,4468302
EU,HRV,2001,4299642
EU,HRV,2002,4302174
EU,HRV,2003,4303399
EU,HRV,2004,4304600
EU,HRV,2005,4310145
EU,HRV,2006,4311159
EU,HRV,2007,4310217
EU,HRV,2008,4309705
EU,HRV,2009,4305181
EU,HRV,2010,4295427
EU,HRV,2011,4280622
EU,HRV,2012,4267558
EU,HRV,2013,4255689
EU,HRV,2014,4238389
NAC,CUB,1992,10783748
NAC,CUB,1993,10840934
NAC,CUB,1994,10887207
NAC,CUB,1995,10926703
NAC,CUB,1996,10963031
NAC,CUB,1997,10998129
NAC,CUB,1998,11033758
NAC,CUB,1999,11070094
NAC,CUB,2000,11105791
NAC,CUB,2001,11139127
NAC,CUB,2002,11170051
NAC,CUB,2003,11199217
NAC,CUB,2004,11225294
NAC,CUB,2005,11246114
NAC,CUB,2006,11260630
NAC,CUB,2007,11269887
NAC,CUB,2008,11276609
NAC,CUB,2009,11283185
NAC,CUB,2010,11290417
NAC,CUB,2011,11298710
NAC,CUB,2012,11309290
NAC,CUB,2013,11321579
NAC,CUB,2014,11332026
AS,CYP,1999,931600
AS,CYP,2000,948237
AS,CYP,2004,1018684
AS,CYP,2005,1037062
AS,CYP,2006,1055438
AS,CYP,2007,1073873
AS,CYP,2008,1092390
AS,CYP,2009,1110974
AS,CYP,2010,1129686
AS,CYP,2011,1145086
AS,CYP,2012,1156556
AS,CYP,2013,1166968
AS,CYP,2014,1176995
EU,CZE,1990,
EU,CZE,1991,10308578
EU,CZE,1992,10319123
EU,CZE,1993,10329855
EU,CZE,1994,10333587
EU,CZE,1995,10327253
EU,CZE,1996,10315241
EU,CZE,1997,10304131
EU,CZE,1998,10294373
EU,CZE,1999,10283860
EU,CZE,2000,10255063
EU,CZE,2001,10216605
EU,CZE,2002,10196916
EU,CZE,2003,10193998
EU,CZE,2004,10197101
EU,CZE,2005,10211216
EU,CZE,2006,10238905
EU,CZE,2007,10298828
EU,CZE,2008,10384603
EU,CZE,2009,10443936
EU,CZE,2010,10474410
EU,CZE,2011,10496088
EU,CZE,2012,10510785
EU,CZE,2013,10514272
EU,CZE,2014,10525347
EU,DNK,1990,
EU,DNK,1991,5154298
EU,DNK,1992,5171370
EU,DNK,1993,5188628
EU,DNK,1994,5206180
EU,DNK,1995,5233373
EU,DNK,1996,5263074
EU,DNK,1997,5284991
EU,DNK,1998,5304219
EU,DNK,1999,5321799
EU,DNK,2000,5339616
EU,DNK,2001,5358783
EU,DNK,2002,5375931
EU,DNK,2003,5390574
EU,DNK,2004,5404523
EU,DNK,2005,5419432
EU,DNK,2006,5437272
EU,DNK,2007,5461438
EU,DNK,2008,5493621
EU,DNK,2009,5523095
EU,DNK,2010,5547683
EU,DNK,2011,5570572
EU,DNK,2012,5591572
EU,DNK,2013,5614932
EU,DNK,2014,5643475
NAC,DMA,1990,
NAC,DMA,1991,69141
NAC,DMA,1992,69112
NAC,DMA,1993,69169
NAC,DMA,1994,69198
NAC,DMA,1995,69201
NAC,DMA,1996,69166
NAC,DMA,1997,69081
NAC,DMA,1998,68938
NAC,DMA,1999,68698
NAC,DMA,2000,68346
NAC,DMA,2001,68153
NAC,DMA,2002,68262
NAC,DMA,2003,68442
NAC,DMA,2004,68574
NAC,DMA,2005,68674
NAC,DMA,2006,68742
NAC,DMA,2007,68775
NAC,DMA,2008,68782
NAC,DMA,2009,68787
NAC,DMA,2010,68755
NAC,DMA,2011,68742
NAC,DMA,2012,68888
NAC,DMA,2013,68819
NAC,DMA,2014,69371
NAC,DOM,1990,
NAC,DOM,1991,7278402
NAC,DOM,1992,7427340
NAC,DOM,1994,7723934
NAC,DOM,1995,7869753
NAC,DOM,1996,8012314
NAC,DOM,1997,8150076
NAC,DOM,1998,8282126
NAC,DOM,1999,8411374
NAC,DOM,2000,8540791
NAC,DOM,2001,8669040
NAC,DOM,2002,8795101
NAC,DOM,2003,8919852
NAC,DOM,2004,9043127
NAC,DOM,2005,9164768
NAC,DOM,2006,9284168
NAC,DOM,2007,9402206
NAC,DOM,2008,9522948
NAC,DOM,2009,9648061
NAC,DOM,2010,9775755
NAC,DOM,2011,9903737
NAC,DOM,2012,10030882
NAC,DOM,2013,10157051
NAC,DOM,2014,10282115
CSA,ECU,1990,
CSA,ECU,1991,10686279
CSA,ECU,1992,10914222
CSA,ECU,1993,11132829
CSA,ECU,1994,11347652
CSA,ECU,1995,11561683
CSA,ECU,1996,11775221
CSA,ECU,1997,11987838
CSA,ECU,1998,12199693
CSA,ECU,1999,12412046
CSA,ECU,2000,12626507
CSA,ECU,2001,12845521
CSA,ECU,2002,13070609
CSA,ECU,2003,13301184
CSA,ECU,2004,13534593
CSA,ECU,2005,13770012
CSA,ECU,2006,14009061
CSA,ECU,2007,14251835
CSA,ECU,2008,14496797
CSA,ECU,2009,14742766
CSA,ECU,2010,14989585
CSA,ECU,2011,15237728
CSA,ECU,2012,15483883
CSA,ECU,2013,15722989
CSA,ECU,2014,15957994
AF,EGY,2000,71371371
AF,EGY,2001,72854261
AF,EGY,2002,74393759
AF,EGY,2003,75963322
AF,EGY,2009,85501064
AF,EGY,2010,87252413
AF,EGY,2011,89200054
AF,EGY,2012,91240376
AF,EGY,2013,93377890
AF,EGY,2014,95592324
CSA,SLV,1990,
CSA,SLV,1991,5461070
CSA,SLV,1992,5552206
CSA,SLV,1993,5630987
CSA,SLV,1995,5748195
CSA,SLV,1996,5797140
CSA,SLV,1997,5842638
CSA,SLV,1998,5885083
CSA,SLV,1999,5923852
CSA,SLV,2000,5958482
CSA,SLV,2001,5988095
CSA,SLV,2002,6011275
CSA,SLV,2003,6026849
CSA,SLV,2004,6035655
CSA,SLV,2005,6037817
CSA,SLV,2006,6034436
CSA,SLV,2007,6044131
CSA,SLV,2008,6068099
CSA,SLV,2009,6091188
CSA,SLV,2010,6114034
CSA,SLV,2011,6137349
CSA,SLV,2012,6161289
CSA,SLV,2013,6185642
CSA,SLV,2014,6209526
EU,EST,1990,
EU,EST,1991,1561314
EU,EST,1992,1533091
EU,EST,1993,1494128
EU,EST,1994,1462514
EU,EST,1995,1436634
EU,EST,1996,1415594
EU,EST,1997,1399535
EU,EST,1998,1386156
EU,EST,1999,1390244
EU,EST,2000,1396985
EU,EST,2001,1388115
EU,EST,2002,1379350
EU,EST,2003,1370720
EU,EST,2004,1362550
